moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
europa,2457389.704491437,A.D. 2016-01-02 04:54:28.06 TDB,2457389.821299157,A.D. 2016-01-02 07:42:40.25 TDB,168.2031,2457389.762895297,5.03474106,41.872665,0.0086,0.0086
europa,2457393.258197986,A.D. 2016-01-05 18:11:48.31 TDB,2457393.374864227,A.D. 2016-01-05 20:59:48.27 TDB,167.9994,2457393.316531106,4.98133682,41.428515,0.0086,0.0086
europa,2457396.811841168,A.D. 2016-01-09 07:29:03.08 TDB,2457396.928410363,A.D. 2016-01-09 10:16:54.66 TDB,167.8596,2457396.870125765,4.92922359,40.995103,0.0086,0.0086
europa,2457400.365310267,A.D. 2016-01-12 20:46:02.81 TDB,2457400.481745070,A.D. 2016-01-12 23:33:42.77 TDB,167.6661,2457400.423527669,4.87864067,40.574417,0.0086,0.0086
europa,2457403.918919169,A.D. 2016-01-16 10:03:14.62 TDB,2457404.035272143,A.D. 2016-01-16 12:50:47.51 TDB,167.5483,2457403.977095656,4.82981799,40.168371,0.0086,0.0086
europa,2457407.472529742,A.D. 2016-01-19 23:20:26.57 TDB,2457407.588751606,A.D. 2016-01-20 02:07:48.14 TDB,167.3595,2457407.530640674,4.78298288,39.778856,0.0086,0.0086
europa,2457411.026183741,A.D. 2016-01-23 12:37:42.28 TDB,2457411.142312083,A.D. 2016-01-23 15:24:55.76 TDB,167.2248,2457411.084247912,4.73833856,39.407560,0.0086,0.0086
europa,2457414.579583226,A.D. 2016-01-27 01:54:35.99 TDB,2457414.695577958,A.D. 2016-01-27 04:41:37.94 TDB,167.0324,2457414.637580592,4.69608842,39.056176,0.0086,0.0086
europa,2457418.133052884,A.D. 2016-01-30 15:11:35.77 TDB,2457418.248963630,A.D. 2016-01-30 17:58:30.46 TDB,166.9115,2457418.191008257,4.65642579,38.726312,0.0086,0.0086
europa,2457421.686489429,A.D. 2016-02-03 04:28:32.69 TDB,2457421.802284401,A.D. 2016-02-03 07:15:17.37 TDB,166.7448,2457421.744386915,4.61955818,38.419694,0.0086,0.0086
europa,2457425.240117481,A.D. 2016-02-06 17:45:46.15 TDB,2457425.355823373,A.D. 2016-02-06 20:32:23.14 TDB,166.6165,2457425.297970427,4.58568278,38.137961,0.0086,0.0086
europa,2457428.793531159,A.D. 2016-02-10 07:02:41.09 TDB,2457428.909114385,A.D. 2016-02-10 09:49:07.48 TDB,166.4398,2457428.851322772,4.55500049,37.882784,0.0086,0.0086
europa,2457432.346926404,A.D. 2016-02-13 20:19:34.44 TDB,2457432.462417972,A.D. 2016-02-13 23:05:52.91 TDB,166.3079,2457432.404672188,4.52767934,37.655561,0.0086,0.0086
europa,2457435.900227512,A.D. 2016-02-17 09:36:19.66 TDB,2457436.015615732,A.D. 2016-02-17 12:22:29.20 TDB,166.1590,2457435.957921622,4.50386501,37.457503,0.0086,0.0086
europa,2457439.453722361,A.D. 2016-02-20 22:53:21.61 TDB,2457439.569028088,A.D. 2016-02-21 01:39:24.03 TDB,166.0402,2457439.511375225,4.48366635,37.289516,0.0086,0.0086
europa,2457443.007180990,A.D. 2016-02-24 12:10:20.44 TDB,2457443.122379389,A.D. 2016-02-24 14:56:13.58 TDB,165.8857,2457443.064780190,4.46718666,37.152459,0.0086,0.0086
europa,2457446.560571920,A.D. 2016-02-28 01:27:13.41 TDB,2457446.675678611,A.D. 2016-02-28 04:12:58.63 TDB,165.7536,2457446.618125265,4.45450667,37.047002,0.0086,0.0086
europa,2457450.113827915,A.D. 2016-03-02 14:43:54.73 TDB,2457450.228833642,A.D. 2016-03-02 17:29:31.23 TDB,165.6082,2457450.171330779,4.44570226,36.973778,0.0086,0.0086
europa,2457453.667166494,A.D. 2016-03-06 04:00:43.19 TDB,2457453.782099042,A.D. 2016-03-06 06:46:13.36 TDB,165.5029,2457453.724632768,4.44082527,36.933218,0.0086,0.0086
europa,2457457.220595998,A.D. 2016-03-09 17:17:39.49 TDB,2457457.335434050,A.D. 2016-03-09 20:03:01.50 TDB,165.3668,2457457.278015024,4.43991703,36.925664,0.0086,0.0086
europa,2457460.774032975,A.D. 2016-03-13 06:34:36.45 TDB,2457460.888789193,A.D. 2016-03-13 09:19:51.39 TDB,165.2490,2457460.831411084,4.44297642,36.951108,0.0086,0.0086
europa,2457464.327323600,A.D. 2016-03-16 19:51:20.76 TDB,2457464.441980585,A.D. 2016-03-16 22:36:27.12 TDB,165.1061,2457464.384652092,4.44996725,37.009249,0.0086,0.0086
europa,2457467.880577927,A.D. 2016-03-20 09:08:01.93 TDB,2457467.995163690,A.D. 2016-03-20 11:53:02.14 TDB,165.0035,2457467.937870809,4.46081615,37.099477,0.0086,0.0086
europa,2457471.433917942,A.D. 2016-03-23 22:24:50.51 TDB,2457471.548423067,A.D. 2016-03-24 01:09:43.75 TDB,164.8874,2457471.491170505,4.47544607,37.221150,0.0086,0.0086
europa,2457474.987357382,A.D. 2016-03-27 11:41:47.68 TDB,2457475.101791452,A.D. 2016-03-27 14:26:34.78 TDB,164.7851,2457475.044574417,4.49376115,37.373472,0.0086,0.0086
europa,2457478.540758646,A.D. 2016-03-31 00:58:41.55 TDB,2457478.655102166,A.D. 2016-03-31 03:43:20.83 TDB,164.6547,2457478.597930406,4.51566165,37.555613,0.0086,0.0086
europa,2457482.094005756,A.D. 2016-04-03 14:15:22.10 TDB,2457482.208277027,A.D. 2016-04-03 16:59:55.14 TDB,164.5506,2457482.151141391,4.54102371,37.766543,0.0086,0.0086
europa,2457485.647308585,A.D. 2016-04-07 03:32:07.46 TDB,2457485.761504214,A.D. 2016-04-07 06:16:33.96 TDB,164.4417,2457485.704406399,4.56971881,38.005192,0.0086,0.0086
europa,2457489.200658874,A.D. 2016-04-10 16:48:56.93 TDB,2457489.314797743,A.D. 2016-04-10 19:33:18.52 TDB,164.3600,2457489.257728308,4.60158236,38.270193,0.0086,0.0086
europa,2457492.754177183,A.D. 2016-04-14 06:06:00.91 TDB,2457492.868233837,A.D. 2016-04-14 08:50:15.40 TDB,164.2416,2457492.811205510,4.63643214,38.560030,0.0086,0.0086
europa,2457496.307497538,A.D. 2016-04-17 19:22:47.79 TDB,2457496.421489608,A.D. 2016-04-17 22:06:56.70 TDB,164.1486,2457496.364493573,4.67406041,38.872975,0.0086,0.0086
europa,2457499.860847552,A.D. 2016-04-21 08:39:37.23 TDB,2457499.974757568,A.D. 2016-04-21 11:23:39.05 TDB,164.0304,2457499.917802560,4.71427578,39.207436,0.0086,0.0086
europa,2457503.414121188,A.D. 2016-04-24 21:56:20.07 TDB,2457503.527987604,A.D. 2016-04-25 00:40:18.13 TDB,163.9676,2457503.471054397,4.75687981,39.561763,0.0086,0.0086
europa,2457506.967661190,A.D. 2016-04-28 11:13:25.93 TDB,2457507.081450971,A.D. 2016-04-28 13:57:17.36 TDB,163.8573,2457507.024556080,4.80169168,39.934452,0.0086,0.0086
europa,2457510.521105288,A.D. 2016-05-02 00:30:23.50 TDB,2457510.634844759,A.D. 2016-05-02 03:14:10.59 TDB,163.7848,2457510.577975024,4.84851367,40.323859,0.0086,0.0086
europa,2457514.074568971,A.D. 2016-05-05 13:47:22.76 TDB,2457514.188221137,A.D. 2016-05-05 16:31:02.31 TDB,163.6591,2457514.131395054,4.89715396,40.728388,0.0086,0.0086
europa,2457517.627857792,A.D. 2016-05-09 03:04:06.91 TDB,2457517.741468798,A.D. 2016-05-09 05:47:42.90 TDB,163.5998,2457517.684663295,4.94739434,41.146224,0.0086,0.0086
europa,2457521.181364510,A.D. 2016-05-12 16:21:09.89 TDB,2457521.294904821,A.D. 2016-05-12 19:04:39.78 TDB,163.4980,2457521.238134665,4.99902153,41.575594,0.0086,0.0086
europa,2457524.734878762,A.D. 2016-05-16 05:38:13.53 TDB,2457524.848380396,A.D. 2016-05-16 08:21:40.07 TDB,163.4424,2457524.791629579,5.05181502,42.014664,0.0086,0.0086
europa,2457528.288508533,A.D. 2016-05-19 18:55:27.14 TDB,2457528.401925713,A.D. 2016-05-19 21:38:46.38 TDB,163.3207,2457528.345217123,5.10557977,42.461812,0.0086,0.0086
europa,2457531.841895362,A.D. 2016-05-23 08:12:19.76 TDB,2457531.955269517,A.D. 2016-05-23 10:55:35.29 TDB,163.2588,2457531.898582440,5.16011846,42.915397,0.0086,0.0086
europa,2457535.395420274,A.D. 2016-05-26 21:29:24.31 TDB,2457535.508720233,A.D. 2016-05-27 00:12:33.43 TDB,163.1519,2457535.452070253,5.21526162,43.374008,0.0086,0.0086
europa,2457538.948925241,A.D. 2016-05-30 10:46:27.14 TDB,2457539.062198827,A.D. 2016-05-30 13:29:33.98 TDB,163.1140,2457539.005562034,5.27083268,43.836179,0.0086,0.0086
europa,2457542.502692211,A.D. 2016-06-03 00:03:52.61 TDB,2457542.615884024,A.D. 2016-06-03 02:46:52.38 TDB,162.9962,2457542.559288118,5.32666563,44.300527,0.0086,0.0086
europa,2457546.056251497,A.D. 2016-06-06 13:21:00.13 TDB,2457546.169405079,A.D. 2016-06-06 16:03:56.60 TDB,162.9412,2457546.112828287,5.38256692,44.765444,0.0086,0.0086
europa,2457549.609866411,A.D. 2016-06-10 02:38:12.46 TDB,2457549.722933916,A.D. 2016-06-10 05:21:01.49 TDB,162.8172,2457549.666400164,5.43835477,45.229417,0.0086,0.0086
