moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
ganymede,2457389.064246387,A.D. 2016-01-01 13:32:30.89 TDB,2457389.206877024,A.D. 2016-01-01 16:57:54.17 TDB,205.3881,2457389.135561706,5.04715001,41.975867,0.0086,0.0086
ganymede,2457396.229903598,A.D. 2016-01-08 17:31:03.67 TDB,2457396.372153109,A.D. 2016-01-08 20:55:54.03 TDB,204.8393,2457396.301028353,4.94033580,41.087520,0.0086,0.0086
ganymede,2457403.395778758,A.D. 2016-01-15 21:29:55.28 TDB,2457403.537672401,A.D. 2016-01-16 00:54:14.90 TDB,204.3268,2457403.466725580,4.83957244,40.249497,0.0086,0.0086
ganymede,2457410.561807347,A.D. 2016-01-23 01:29:00.15 TDB,2457410.703301783,A.D. 2016-01-23 04:52:45.27 TDB,203.7520,2457410.632554565,4.74673687,39.477407,0.0086,0.0086
ganymede,2457417.727831371,A.D. 2016-01-30 05:28:04.63 TDB,2457417.868895113,A.D. 2016-01-30 08:51:12.54 TDB,203.1318,2457417.798363241,4.66351571,38.785278,0.0086,0.0086
ganymede,2457424.893642496,A.D. 2016-02-06 09:26:50.71 TDB,2457425.034290423,A.D. 2016-02-06 12:49:22.69 TDB,202.5330,2457424.963966460,4.59156061,38.186845,0.0086,0.0086
ganymede,2457432.059131582,A.D. 2016-02-13 13:25:08.97 TDB,2457432.199325885,A.D. 2016-02-13 16:47:01.76 TDB,201.8798,2457432.129228733,4.53248268,37.695509,0.0086,0.0086
ganymede,2457439.224569938,A.D. 2016-02-20 17:23:22.84 TDB,2457439.364357102,A.D. 2016-02-20 20:44:40.45 TDB,201.2935,2457439.294463520,4.48758390,37.322097,0.0086,0.0086
ganymede,2457446.390318975,A.D. 2016-02-27 21:22:03.56 TDB,2457446.529666279,A.D. 2016-02-28 00:42:43.17 TDB,200.6601,2457446.459992628,4.45775772,37.074040,0.0086,0.0086
ganymede,2457453.556282572,A.D. 2016-03-06 01:21:02.81 TDB,2457453.695214641,A.D. 2016-03-06 04:41:06.55 TDB,200.0622,2457453.625748606,4.44365277,36.956733,0.0086,0.0086
ganymede,2457460.722368415,A.D. 2016-03-13 05:20:12.63 TDB,2457460.860844153,A.D. 2016-03-13 08:39:36.93 TDB,199.4051,2457460.791606284,4.44563896,36.973252,0.0086,0.0086
ganymede,2457467.888418747,A.D. 2016-03-20 09:19:19.38 TDB,2457468.026406334,A.D. 2016-03-20 12:38:01.51 TDB,198.7021,2457467.957412541,4.46357650,37.122434,0.0086,0.0086
ganymede,2457475.054245507,A.D. 2016-03-27 13:18:06.81 TDB,2457475.191762112,A.D. 2016-03-27 16:36:08.25 TDB,198.0239,2457475.123003810,4.49686784,37.399309,0.0086,0.0086
ganymede,2457482.219750090,A.D. 2016-04-03 17:16:26.41 TDB,2457482.356757788,A.D. 2016-04-03 20:33:43.87 TDB,197.2911,2457482.288253939,4.54470349,37.797146,0.0086,0.0086
ganymede,2457489.385205280,A.D. 2016-04-10 21:14:41.74 TDB,2457489.521751355,A.D. 2016-04-11 00:31:19.32 TDB,196.6263,2457489.453478318,4.60603398,38.307216,0.0086,0.0086
ganymede,2457496.550978393,A.D. 2016-04-18 01:13:24.53 TDB,2457496.687027602,A.D. 2016-04-18 04:29:19.18 TDB,195.9109,2457496.619002998,4.67944169,38.917730,0.0086,0.0086
ganymede,2457503.716957555,A.D. 2016-04-25 05:12:25.13 TDB,2457503.852534929,A.D. 2016-04-25 08:27:39.02 TDB,195.2314,2457503.784746242,4.76331426,39.615277,0.0086,0.0086
ganymede,2457510.883022931,A.D. 2016-05-02 09:11:33.18 TDB,2457511.018091599,A.D. 2016-05-02 12:26:03.11 TDB,194.4989,2457510.950557265,4.85607833,40.386772,0.0086,0.0086
