moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_moon_au,light_travel_min,ingress_prec_s,egress_prec_s
io,2457389.123836510,A.D. 2016-01-01 14:58:19.47 TDB,2457389.218599424,A.D. 2016-01-01 17:14:46.99 TDB,136.4586,2457389.171217967,5.04193390,41.932486,0.0086,0.0086
io,2457390.893756492,A.D. 2016-01-03 09:27:00.56 TDB,2457390.988509460,A.D. 2016-01-03 11:43:27.22 TDB,136.4443,2457390.941132976,5.01510078,41.709321,0.0086,0.0086
io,2457392.663591151,A.D. 2016-01-05 03:55:34.28 TDB,2457392.758339979,A.D. 2016-01-05 06:12:00.57 TDB,136.4383,2457392.710965564,4.98855082,41.488512,0.0086,0.0086
io,2457394.433376657,A.D. 2016-01-06 22:24:03.74 TDB,2457394.528124651,A.D. 2016-01-07 00:40:29.97 TDB,136.4371,2457394.480750654,4.96231105,41.270283,0.0086,0.0086
io,2457396.203247317,A.D. 2016-01-08 16:52:40.57 TDB,2457396.298001290,A.D. 2016-01-08 19:09:07.31 TDB,136.4457,2457396.250624304,4.93640920,41.054863,0.0086,0.0086
io,2457397.973088036,A.D. 2016-01-10 11:21:14.81 TDB,2457398.067831282,A.D. 2016-01-10 13:37:40.62 TDB,136.4303,2457398.020459659,4.91087742,40.842522,0.0086,0.0086
io,2457399.742849656,A.D. 2016-01-12 05:49:42.21 TDB,2457399.837588854,A.D. 2016-01-12 08:06:07.68 TDB,136.4244,2457399.790219255,4.88574462,40.633499,0.0086,0.0086
io,2457401.512592601,A.D. 2016-01-14 00:18:08.00 TDB,2457401.607334057,A.D. 2016-01-14 02:34:33.66 TDB,136.4277,2457401.559963329,4.86103849,40.428024,0.0086,0.0086
io,2457403.282478825,A.D. 2016-01-15 18:46:46.17 TDB,2457403.377230012,A.D. 2016-01-15 21:03:12.67 TDB,136.4417,2457403.329854419,4.83678627,40.226325,0.0086,0.0086
io,2457405.052393627,A.D. 2016-01-17 13:15:26.81 TDB,2457405.147136928,A.D. 2016-01-17 15:31:52.63 TDB,136.4304,2457405.099765277,4.81301832,40.028653,0.0086,0.0086
io,2457406.822255614,A.D. 2016-01-19 07:44:02.89 TDB,2457406.916993216,A.D. 2016-01-19 10:00:28.21 TDB,136.4221,2457406.869624415,4.78976070,39.835225,0.0086,0.0086
io,2457408.592075604,A.D. 2016-01-21 02:12:35.33 TDB,2457408.686812026,A.D. 2016-01-21 04:29:00.56 TDB,136.4204,2457408.639443815,4.76703754,39.646242,0.0086,0.0086
io,2457410.361991503,A.D. 2016-01-22 20:41:16.07 TDB,2457410.456733085,A.D. 2016-01-22 22:57:41.74 TDB,136.4279,2457410.409362294,4.74487237,39.461900,0.0086,0.0086
io,2457412.131883057,A.D. 2016-01-24 15:09:54.70 TDB,2457412.226613030,A.D. 2016-01-24 17:26:19.37 TDB,136.4112,2457412.179248043,4.72329229,39.282424,0.0086,0.0086
