moon,ingress_jd,ingress_cal,egress_jd,egress_cal,duration_min,mid_jd,earth_io_au,light_travel_min
io,2331382.149072460,1671-01-02 15:34:39.86 TDB,2331382.244906384,1671-01-02 17:52:39.91 TDB,138.0009,2331382.196989422,4.48109055,37.268094
io,2331383.919004772,1671-01-04 10:03:22.01 TDB,2331384.014842395,1671-01-04 12:21:22.38 TDB,138.0062,2331383.966923583,4.46614917,37.143830
io,2331385.688900302,1671-01-06 04:32:00.99 TDB,2331385.784739546,1671-01-06 06:50:01.50 TDB,138.0085,2331385.736819924,4.45202979,37.026403
io,2331387.458742887,1671-01-07 23:00:35.39 TDB,2331387.554589258,1671-01-08 01:18:36.51 TDB,138.0188,2331387.506666072,4.43875342,36.915986
io,2331389.228685311,1671-01-09 17:29:18.41 TDB,2331389.324545948,1671-01-09 19:47:20.77 TDB,138.0393,2331389.276615629,4.42634046,36.812751
io,2331390.998625723,1671-01-11 11:58:01.26 TDB,2331391.094486241,1671-01-11 14:16:03.61 TDB,138.0391,2331391.046555982,4.41481279,36.716878
io,2331392.768475632,1671-01-13 06:26:36.29 TDB,2331392.864333150,1671-01-13 08:44:38.38 TDB,138.0348,2331392.816404391,4.40418802,36.628515
io,2331394.538231345,1671-01-15 00:55:03.19 TDB,2331394.634093605,1671-01-15 03:13:05.69 TDB,138.0417,2331394.586162475,4.39448078,36.547782
io,2331396.308088096,1671-01-16 19:23:38.81 TDB,2331396.403964760,1671-01-16 21:41:42.56 TDB,138.0624,2331396.356026428,4.38570419,36.474790
io,2331398.077987486,1671-01-18 13:52:18.12 TDB,2331398.173866924,1671-01-18 16:10:22.10 TDB,138.0664,2331398.125927205,4.37787162,36.409648
io,2331399.847857187,1671-01-20 08:20:54.86 TDB,2331399.943735607,1671-01-20 10:38:58.76 TDB,138.0649,2331399.895796397,4.37099230,36.352434
io,2331401.617677946,1671-01-22 02:49:27.37 TDB,2331401.713562172,1671-01-22 05:07:31.77 TDB,138.0733,2331401.665620059,4.36507322,36.303207
io,2331403.387622393,1671-01-23 21:18:10.57 TDB,2331403.483519948,1671-01-23 23:36:16.12 TDB,138.0925,2331403.435571170,4.36012143,36.262024
io,2331405.157602123,1671-01-25 15:46:56.82 TDB,2331405.253500131,1671-01-25 18:05:02.41 TDB,138.0931,2331405.205551127,4.35614507,36.228954
io,2331406.927509963,1671-01-27 10:15:36.86 TDB,2331407.023401860,1671-01-27 12:33:41.92 TDB,138.0843,2331406.975455911,4.35314930,36.204039
io,2331408.697302472,1671-01-29 04:44:06.93 TDB,2331408.793195425,1671-01-29 07:02:12.08 TDB,138.0859,2331408.745248948,4.35113748,36.187307
io,2331410.467167656,1671-01-30 23:12:43.29 TDB,2331410.563070644,1671-01-31 01:30:49.30 TDB,138.1003,2331410.515119150,4.35011351,36.178791
io,2331412.237058951,1671-02-01 17:41:21.89 TDB,2331412.332962179,1671-02-01 19:59:27.93 TDB,138.1006,2331412.285010565,4.35008168,36.178526
io,2331414.006906886,1671-02-03 12:09:56.75 TDB,2331414.102804735,1671-02-03 14:28:02.33 TDB,138.0929,2331414.054855810,4.35104299,36.186521
io,2331415.776684591,1671-02-05 06:38:25.55 TDB,2331415.872585848,1671-02-05 08:56:31.42 TDB,138.0978,2331415.824635220,4.35299617,36.202765
io,2331417.546588314,1671-02-07 01:07:05.23 TDB,2331417.642501387,1671-02-07 03:25:12.12 TDB,138.1148,2331417.594544850,4.35594043,36.227252
io,2331419.316563306,1671-02-08 19:35:51.07 TDB,2331419.412477461,1671-02-08 21:53:58.05 TDB,138.1164,2331419.364520383,4.35987422,36.259968
io,2331421.086505439,1671-02-10 14:04:34.07 TDB,2331421.182411508,1671-02-10 16:22:40.35 TDB,138.1047,2331421.134458474,4.36479160,36.300865
io,2331422.856339165,1671-02-12 08:33:07.70 TDB,2331422.952244369,1671-02-12 10:51:13.91 TDB,138.1035,2331422.904291767,4.37068279,36.349860
io,2331424.626237568,1671-02-14 03:01:46.93 TDB,2331424.722149497,1671-02-14 05:19:53.72 TDB,138.1132,2331424.674193532,4.37753769,36.406871
io,2331426.396155274,1671-02-15 21:30:27.82 TDB,2331426.492065176,1671-02-15 23:48:34.43 TDB,138.1103,2331426.444110225,4.38534461,36.471799
io,2331428.166013954,1671-02-17 15:59:03.61 TDB,2331428.261913314,1671-02-17 18:17:09.31 TDB,138.0951,2331428.213963634,4.39408849,36.544520
io,2331429.935765951,1671-02-19 10:27:30.18 TDB,2331430.031664481,1671-02-19 12:45:35.81 TDB,138.0939,2331429.983715216,4.40375222,36.624890
io,2331431.705618243,1671-02-21 04:56:05.42 TDB,2331431.801525240,1671-02-21 07:14:11.78 TDB,138.1061,2331431.753571742,4.41432127,36.712791
io,2331433.475551308,1671-02-22 23:24:47.63 TDB,2331433.571459562,1671-02-23 01:42:54.11 TDB,138.1079,2331433.523505435,4.42578113,36.808099
io,2331435.245481992,1671-02-24 17:53:29.64 TDB,2331435.341380484,1671-02-24 20:11:35.27 TDB,138.0938,2331435.293431238,4.43811497,36.910677
io,2331437.015324761,1671-02-26 12:22:04.06 TDB,2331437.111220971,1671-02-26 14:40:09.49 TDB,138.0905,2331437.063272866,4.45130390,37.020366
io,2331438.785246608,1671-02-28 06:50:45.31 TDB,2331438.881147492,1671-02-28 09:08:51.14 TDB,138.0973,2331438.833197050,4.46533170,37.137031
io,2331440.555204538,1671-03-02 01:19:29.67 TDB,2331440.651102869,1671-03-02 03:37:35.29 TDB,138.0936,2331440.603153704,4.48018124,37.260531
io,2331442.325106129,1671-03-03 19:48:09.17 TDB,2331442.420990033,1671-03-03 22:06:13.54 TDB,138.0728,2331442.373048081,4.49583265,37.390700
io,2331444.094870461,1671-03-05 14:16:36.81 TDB,2331444.190748873,1671-03-05 16:34:40.70 TDB,138.0649,2331444.142809667,4.51226362,37.527352
io,2331445.864696322,1671-03-07 08:45:09.76 TDB,2331445.960578073,1671-03-07 11:03:13.95 TDB,138.0697,2331445.912637197,4.52945498,37.670328
io,2331447.634587836,1671-03-09 03:13:48.39 TDB,2331447.730469241,1671-03-09 05:31:52.54 TDB,138.0692,2331447.682528538,4.54738638,37.819459
io,2331449.404481610,1671-03-10 21:42:27.21 TDB,2331449.500351089,1671-03-11 00:00:30.33 TDB,138.0520,2331449.452416349,4.56603420,37.974548
io,2331451.174291844,1671-03-12 16:10:58.82 TDB,2331451.270157564,1671-03-12 18:29:01.61 TDB,138.0466,2331451.222224704,4.58537111,38.135369
io,2331452.944195567,1671-03-14 10:39:38.50 TDB,2331453.040063945,1671-03-14 12:57:41.52 TDB,138.0505,2331452.992129756,4.60537237,38.301714
io,2331454.714170259,1671-03-16 05:08:24.31 TDB,2331454.810036690,1671-03-16 07:26:27.17 TDB,138.0477,2331454.762103475,4.62601165,38.473366
io,2331456.484118633,1671-03-17 23:37:07.85 TDB,2331456.579968992,1671-03-18 01:55:09.32 TDB,138.0245,2331456.532043812,4.64726045,38.650087
io,2331458.253923202,1671-03-19 18:05:38.96 TDB,2331458.349764894,1671-03-19 20:23:39.69 TDB,138.0120,2331458.301844048,4.66908841,38.831624
io,2331460.023759271,1671-03-21 12:34:12.80 TDB,2331460.119599281,1671-03-21 14:52:13.38 TDB,138.0096,2331460.071679276,4.69147056,39.017771
io,2331461.793639575,1671-03-23 07:02:50.46 TDB,2331461.889476642,1671-03-23 09:20:50.78 TDB,138.0054,2331461.841558108,4.71438229,39.208322
io,2331463.563509772,1671-03-25 01:31:27.24 TDB,2331463.659331331,1671-03-25 03:49:26.23 TDB,137.9830,2331463.611420551,4.73779789,39.403064
io,2331465.333276668,1671-03-26 19:59:55.10 TDB,2331465.429091715,1671-03-26 22:17:53.52 TDB,137.9737,2331465.381184191,4.76168963,39.601765
io,2331467.103125806,1671-03-28 14:28:30.07 TDB,2331467.198941076,1671-03-28 16:46:28.51 TDB,137.9740,2331467.151033441,4.78603499,39.804239
io,2331468.873070525,1671-03-30 08:57:13.29 TDB,2331468.968884696,1671-03-30 11:15:11.64 TDB,137.9724,2331468.920977611,4.81081107,40.010296
io,2331470.643032699,1671-04-01 03:25:58.03 TDB,2331470.738830154,1671-04-01 05:43:54.93 TDB,137.9483,2331470.690931426,4.83599292,40.219727
io,2331472.412871511,1671-04-02 21:54:32.10 TDB,2331472.508658942,1671-04-03 00:12:28.13 TDB,137.9339,2331472.460765226,4.86155239,40.432298
io,2331474.182735400,1671-04-04 16:23:08.34 TDB,2331474.278517790,1671-04-04 18:41:03.94 TDB,137.9266,2331474.230626595,4.88746613,40.647816
io,2331475.952636491,1671-04-06 10:51:47.79 TDB,2331476.048414445,1671-04-06 13:09:43.01 TDB,137.9203,2331476.000525468,4.91371003,40.866080
io,2331477.722518603,1671-04-08 05:20:25.61 TDB,2331477.818277305,1671-04-08 07:38:19.16 TDB,137.8925,2331477.770397954,4.94025774,41.086871
io,2331479.492267670,1671-04-09 23:48:51.93 TDB,2331479.588015781,1671-04-10 02:06:44.56 TDB,137.8773,2331479.540141725,4.96707900,41.309936
io,2331481.262063118,1671-04-11 18:17:22.25 TDB,2331481.357807189,1671-04-11 20:35:14.54 TDB,137.8715,2331481.309935153,4.99414828,41.535065
io,2331483.031950020,1671-04-13 12:46:00.48 TDB,2331483.127693397,1671-04-13 15:03:52.71 TDB,137.8705,2331483.079821708,5.02143995,41.762043
io,2331484.801881636,1671-04-15 07:14:42.57 TDB,2331484.897607937,1671-04-15 09:32:33.33 TDB,137.8459,2331484.849744787,5.04892762,41.990651
io,2331486.571715890,1671-04-17 01:43:16.25 TDB,2331486.667431424,1671-04-17 04:01:06.08 TDB,137.8304,2331486.619573657,5.07658238,42.220648
io,2331488.341588543,1671-04-18 20:11:53.25 TDB,2331488.437296859,1671-04-18 22:29:42.45 TDB,137.8200,2331488.389442701,5.10438161,42.451847
io,2331490.111515763,1671-04-20 14:40:34.96 TDB,2331490.207220348,1671-04-20 16:58:23.84 TDB,137.8146,2331490.159368056,5.13230343,42.684066
io,2331491.881436732,1671-04-22 09:09:16.13 TDB,2331491.977119973,1671-04-22 11:27:03.17 TDB,137.7839,2331491.929278352,5.16032539,42.917118
io,2331493.651206538,1671-04-24 03:37:44.24 TDB,2331493.746875623,1671-04-24 05:55:30.05 TDB,137.7635,2331493.699041081,5.18842205,43.150790
io,2331495.420980443,1671-04-25 22:06:12.71 TDB,2331495.516640106,1671-04-26 00:23:57.71 TDB,137.7499,2331495.468810275,5.21657405,43.384923
io,2331497.190821191,1671-04-27 16:34:46.95 TDB,2331497.286479090,1671-04-27 18:52:31.79 TDB,137.7474,2331497.238650141,5.24476279,43.619362
io,2331498.960707367,1671-04-29 11:03:25.12 TDB,2331499.056346810,1671-04-29 13:21:08.36 TDB,137.7208,2331499.008527089,5.27296884,43.853945
io,2331500.730501104,1671-05-01 05:31:55.30 TDB,2331500.826129182,1671-05-01 07:49:37.56 TDB,137.7044,2331500.778315143,5.30116868,44.088476
io,2331502.500338910,1671-05-03 00:00:29.28 TDB,2331502.595957861,1671-05-03 02:18:10.76 TDB,137.6913,2331502.548148386,5.32934378,44.322801
io,2331504.270261171,1671-05-04 18:29:10.57 TDB,2331504.365878155,1671-05-04 20:46:51.87 TDB,137.6885,2331504.318069663,5.35747532,44.556764
io,2331506.040214747,1671-05-06 12:57:54.55 TDB,2331506.135810277,1671-05-06 15:15:34.01 TDB,137.6576,2331506.088012512,5.38554266,44.790193
io,2331507.810026090,1671-05-08 07:26:26.25 TDB,2331507.905606000,1671-05-08 09:44:04.36 TDB,137.6351,2331507.857816045,5.41351998,45.022873
io,2331509.579814006,1671-05-10 01:54:55.93 TDB,2331509.675380135,1671-05-10 04:12:32.84 TDB,137.6152,2331509.627597070,5.44138627,45.254630
