moon,window,pair,i_lo,i_hi,n_events,T_obs,T_geo,slope_obs,slope_geo,slope_rom,c_km_s,se_c,r_obs,rms_obs_s,rms_geo_s,D_lo,D_hi
io,10yr_hourly,0,38,262,224,1.769862,1.769862,586.413606,87.383901,499.029704,299777.487147,37035.790810,0.670388,459.777971,460.460938,4.438142,6.456626
io,10yr_hourly,1,262,486,224,1.769837,1.769836,676.043044,176.992657,499.050387,299765.063122,19791.166701,0.888757,246.761884,244.580805,4.402950,6.438116
io,10yr_hourly,2,486,711,225,1.769811,1.769811,658.206316,159.227655,498.978661,299808.152684,5626.382971,0.988850,70.213461,69.867628,4.286801,6.350187
io,10yr_hourly,3,711,936,225,1.769801,1.769800,553.962239,54.142110,499.820129,299303.413267,29231.408231,0.736055,359.406789,367.817662,4.142687,6.215678
io,10yr_hourly,4,936,1163,227,1.769816,1.769817,439.644160,-58.920498,498.564657,300057.111090,44062.487374,0.490990,549.727161,544.748446,4.016127,6.074015
io,10yr_hourly,5,1163,1390,227,1.769859,1.769857,389.111479,-110.488847,499.600326,299435.094110,42763.221571,0.461274,524.447813,536.046109,3.955530,5.974823
io,10yr_hourly,6,1390,1617,227,1.769893,1.769891,388.368773,-110.411591,498.780364,299927.345794,29551.994639,0.604434,358.348306,371.372499,3.955389,5.957877
io,10yr_hourly,7,1617,1843,226,1.769899,1.769897,370.371772,-127.405590,497.777362,300531.687576,11083.418177,0.895839,128.981041,143.423046,3.985201,6.030626
europa,10yr_hourly,0,19,130,111,3.553516,3.553426,135.335401,-349.734174,485.069575,308404.975982,208673.247947,0.060249,1583.786905,1830.309801,4.439917,6.458340
europa,10yr_hourly,1,130,242,112,3.553604,3.553611,-292.943966,-791.965616,499.021650,299782.325752,112234.961413,-0.205108,991.334059,973.777694,4.405470,6.439777
europa,10yr_hourly,2,242,354,112,3.553843,3.553845,-331.366628,-830.140522,498.773894,299931.236310,9874.775595,-0.939351,85.648765,86.780729,4.289237,6.351695
europa,10yr_hourly,3,354,466,112,3.554133,3.554133,-64.060260,-563.201003,499.140743,299710.798735,96197.777934,-0.053788,838.302000,836.745572,4.145787,6.217341
europa,10yr_hourly,4,466,579,113,3.554446,3.554448,297.929189,-200.576697,498.505887,300092.485805,142171.699591,0.167390,1235.611410,1242.230621,4.018888,6.075488
europa,10yr_hourly,5,579,692,113,3.554715,3.554712,655.971908,156.673616,499.298293,299616.227167,163494.733662,0.306683,1425.750023,1417.200346,3.958480,5.976253
europa,10yr_hourly,6,692,805,113,3.554822,3.554817,978.138555,479.633608,498.504947,300093.051216,181813.425325,0.397264,1581.732766,1568.344033,3.957095,5.959564
europa,10yr_hourly,7,805,918,113,3.554655,3.554649,1233.406525,735.864341,497.542184,300673.743127,158841.226148,0.530709,1386.605320,1370.174257,3.986874,6.032012
ganymede,10yr_hourly,0,9,65,56,7.166068,7.165727,515.951607,59.620399,456.331209,327827.393508,93717.988859,0.488236,658.085234,186.673455,4.443653,6.460297
ganymede,10yr_hourly,1,65,120,55,7.165664,7.165663,627.642796,128.651024,498.991771,299800.275842,17255.421440,0.973136,104.660885,103.748029,4.414832,6.441442
ganymede,10yr_hourly,2,120,176,56,7.165524,7.165534,575.440485,77.093597,498.346887,300188.231461,3953.038731,0.998348,23.542325,24.916192,4.292939,6.353693
ganymede,10yr_hourly,3,176,231,55,7.165613,7.165618,359.116283,-139.468949,498.585232,300044.728923,74389.078743,0.488544,448.920505,441.827740,4.157738,6.220044
ganymede,10yr_hourly,4,231,287,56,7.166264,7.166279,274.248725,-224.529021,498.777746,299928.920197,120503.199853,0.251332,741.745476,720.704155,4.030329,6.077769
ganymede,10yr_hourly,5,287,343,56,7.167195,7.167204,337.247832,-162.178360,499.426192,299539.497899,109349.629996,0.332683,668.473697,656.370999,3.971146,5.978802
ganymede,10yr_hourly,6,343,399,56,7.167862,7.167864,530.280340,31.002458,499.277882,299628.475701,27595.147733,0.910671,168.451353,166.155242,3.960041,5.962258
ganymede,10yr_hourly,7,399,455,56,7.167608,7.167603,577.440431,79.546842,497.893590,300461.531992,99207.314259,0.557911,605.843594,599.161682,3.990063,6.034439
